date,open,high,low,close,volume,rentabilidad,rentabilidad_%,media_movil_10d,media_movil_50d,rentabilidad_acumulada,caida_maxima,volatilidad_30d,sharpe_30d
2018-01-02,2683.72998046875,2695.889892578125,2682.360107421875,2695.81005859375,3397430000,,,,,,,,
2018-01-03,2697.85009765625,2714.3701171875,2697.77001953125,2713.06005859375,3544030000,0.006398818768781567,0.6398818768781567,,,1.0063988187687816,0.0,,
2018-01-04,2719.31005859375,2729.2900390625,2719.070068359375,2723.989990234375,3697340000,0.004028636080503967,0.40286360805039667,,,1.01045323336145,0.0,,
2018-01-05,2731.330078125,2743.449951171875,2727.919921875,2743.14990234375,3239280000,0.007033767443369587,0.7033767443369587,,,1.0175605264173153,0.0,,
2018-01-08,2742.669921875,2748.510009765625,2737.60009765625,2747.7099609375,3246160000,0.0016623439316436617,0.16623439316436617,,,1.0192520619834853,0.0,,
2018-01-09,2751.14990234375,2759.139892578125,2747.860107421875,2751.2900390625,3467460000,0.0013029315960912946,0.13029315960912946,,,1.0205800776994247,0.0,,
2018-01-10,2745.550048828125,2750.800048828125,2736.06005859375,2748.22998046875,3579900000,-0.0011122268282528491,-0.11122268282528491,,,1.019444961156627,-0.0011122268282529602,,
2018-01-11,2752.969970703125,2767.56005859375,2752.780029296875,2767.56005859375,3645690000,0.007033646478779465,0.7033646478779465,,,1.0266153766179758,0.0,,
2018-01-12,2770.179931640625,2787.85009765625,2769.639892578125,2786.239990234375,3587220000,0.006749602987881076,0.6749602987881076,,,1.0335446228314011,0.0,,
2018-01-16,2798.9599609375,2807.5400390625,2768.639892578125,2776.419921875,4362880000,-0.003524487622672101,-0.3524487622672101,2745.34599609375,,1.0299019076007525,-0.003524487622672101,,
2018-01-17,2784.989990234375,2807.0400390625,2778.3798828125,2802.56005859375,3790340000,0.009415051560751175,0.9415051560751175,2756.02099609375,,1.0395984871633295,0.0,,
2018-01-18,2802.39990234375,2805.830078125,2792.56005859375,2798.030029296875,3703300000,-0.0016163897301626484,-0.16163897301626484,2764.5179931640623,,1.037918090845186,-0.0016163897301627594,,
2018-01-19,2802.60009765625,2810.330078125,2798.080078125,2810.300048828125,3724230000,0.004385235112838837,0.43852351128388367,2773.1489990234377,,1.042469605701411,0.0,,
2018-01-22,2809.159912109375,2833.030029296875,2808.1201171875,2832.969970703125,3489480000,0.008066726499347698,0.8066726499347698,2782.131005859375,,1.050878922894487,0.0,,
2018-01-23,2835.050048828125,2842.239990234375,2830.590087890625,2839.1298828125,3541140000,0.0021743654797181655,0.21743654797181655,2791.272998046875,,1.0531639177477923,0.0,,
